Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36132 connected to 10.0.0.3 port 5001
[  8] 112.00-113.00 sec   168 KBytes  1.38 Mbits/sec    0    144 KBytes       
[  8] 113.00-114.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 114.00-115.01 sec   189 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 115.01-116.00 sec   192 KBytes  1.59 Mbits/sec    0    144 KBytes       
[  8] 116.00-117.00 sec   179 KBytes  1.47 Mbits/sec    0    144 KBytes       
[  8] 117.00-118.02 sec   187 KBytes  1.50 Mbits/sec    0    144 KBytes       
[  8] 118.02-119.01 sec   156 KBytes  1.29 Mbits/sec    0    144 KBytes       
[  8] 119.01-120.02 sec   187 KBytes  1.51 Mbits/sec    0    144 KBytes       
[  8] 120.02-121.00 sec   188 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 121.00-122.00 sec   185 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8] 122.00-123.00 sec   167 KBytes  1.37 Mbits/sec    0    144 KBytes       
[  8] 123.00-124.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 124.00-125.01 sec   170 KBytes  1.38 Mbits/sec    0    144 KBytes       
[  8] 125.01-126.00 sec   187 KBytes  1.55 Mbits/sec    0    144 KBytes       
[  8] 126.00-127.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 127.00-128.00 sec   186 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8] 128.00-129.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 129.00-130.00 sec   171 KBytes  1.40 Mbits/sec    0    144 KBytes       
[  8] 130.00-131.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 131.00-132.00 sec   166 KBytes  1.36 Mbits/sec    0    144 KBytes       
[  8] 132.00-133.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 133.00-134.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 134.00-135.00 sec   165 KBytes  1.35 Mbits/sec    0    144 KBytes       
[  8] 135.00-136.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 136.00-137.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 137.01-138.00 sec   166 KBytes  1.38 Mbits/sec    0    144 KBytes       
[  8] 138.00-139.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 139.00-140.02 sec   191 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 140.02-141.00 sec   160 KBytes  1.33 Mbits/sec    0    144 KBytes       
[  8] 141.00-142.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 142.00-143.00 sec   173 KBytes  1.42 Mbits/sec    0    144 KBytes       
[  8] 143.00-144.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 144.00-145.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 145.00-146.01 sec   190 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 146.01-147.01 sec   160 KBytes  1.31 Mbits/sec    0    144 KBytes       
[  8] 147.01-148.00 sec   192 KBytes  1.59 Mbits/sec    0    144 KBytes       
[  8] 148.00-149.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 149.00-150.01 sec   168 KBytes  1.37 Mbits/sec    0    144 KBytes       
[  8] 150.01-151.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 151.00-152.00 sec   189 KBytes  1.55 Mbits/sec    0    144 KBytes       
[  8] 152.00-153.00 sec   160 KBytes  1.32 Mbits/sec    0    144 KBytes       
[  8] 153.00-154.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 154.00-155.00 sec   192 KBytes  1.58 Mbits/sec    0    144 KBytes       
[  8] 155.00-156.00 sec   169 KBytes  1.38 Mbits/sec    0    144 KBytes       
[  8] 156.00-157.01 sec   187 KBytes  1.51 Mbits/sec    0    144 KBytes       
[  8] 157.01-158.00 sec   188 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 158.00-159.00 sec   160 KBytes  1.31 Mbits/sec    0    144 KBytes       
[  8] 159.00-160.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 160.00-161.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 161.01-162.00 sec   170 KBytes  1.39 Mbits/sec    0    144 KBytes       
[  8] 162.00-163.00 sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 163.00-164.00 sec   188 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 164.00-165.00 sec   186 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 165.00-166.00 sec   166 KBytes  1.36 Mbits/sec    0    144 KBytes       
[  8] 166.00-167.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 167.01-168.00 sec   171 KBytes  1.41 Mbits/sec    0    144 KBytes       
[  8] 168.00-169.01 sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8] 169.01-170.00 sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 170.00-171.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 171.01-172.00 sec   181 KBytes  1.49 Mbits/sec    0    144 KBytes       
[  8] 172.00-173.00 sec   171 KBytes  1.39 Mbits/sec    0    144 KBytes       
[  8] 173.00-174.00 sec   171 KBytes  1.41 Mbits/sec    0    144 KBytes       
[  8] 174.00-175.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 175.00-176.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 176.00-177.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 177.00-178.01 sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8] 178.01-179.00 sec   170 KBytes  1.40 Mbits/sec    0    144 KBytes       
[  8] 179.00-180.00 sec   172 KBytes  1.41 Mbits/sec    0    144 KBytes       
[  8] 180.00-181.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 181.00-182.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 182.00-183.00 sec   190 KBytes  1.55 Mbits/sec    0    144 KBytes       
[  8] 183.00-184.00 sec   183 KBytes  1.50 Mbits/sec    0    144 KBytes       
[  8] 184.00-185.00 sec   169 KBytes  1.39 Mbits/sec    0    144 KBytes       
[  8] 185.00-186.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 186.00-187.00 sec   168 KBytes  1.38 Mbits/sec    0    144 KBytes       
[  8] 187.00-188.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 188.00-189.01 sec   190 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 189.01-190.00 sec   184 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8] 190.00-191.01 sec   168 KBytes  1.37 Mbits/sec    0    144 KBytes       
[  8] 191.01-192.00 sec   192 KBytes  1.58 Mbits/sec    0    144 KBytes       
[  8] 192.00-193.00 sec   169 KBytes  1.37 Mbits/sec    0    144 KBytes       
[  8] 193.00-194.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 194.00-195.00 sec   189 KBytes  1.55 Mbits/sec    0    144 KBytes       
[  8] 195.00-196.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 196.00-197.00 sec   179 KBytes  1.47 Mbits/sec    0    144 KBytes       
[  8] 197.00-198.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 198.00-199.00 sec   178 KBytes  1.46 Mbits/sec    0    144 KBytes       
[  8] 199.00-200.01 sec   164 KBytes  1.33 Mbits/sec    0    144 KBytes       
[  8] 200.01-201.01 sec   188 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 201.01-202.00 sec   192 KBytes  1.58 Mbits/sec    0    144 KBytes       
[  8] 202.00-203.00 sec   180 KBytes  1.47 Mbits/sec    0    144 KBytes       
[  8] 203.00-204.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 204.00-205.00 sec   177 KBytes  1.45 Mbits/sec    0    144 KBytes       
[  8] 205.00-206.00 sec   165 KBytes  1.35 Mbits/sec    0    144 KBytes       
[  8] 206.00-207.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 207.00-208.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 208.01-209.00 sec   181 KBytes  1.50 Mbits/sec    0    144 KBytes       
[  8] 209.00-210.01 sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8] 210.01-211.00 sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 211.00-212.00 sec   182 KBytes  1.49 Mbits/sec    0    144 KBytes       
[  8] 212.00-213.01 sec   160 KBytes  1.31 Mbits/sec    0    144 KBytes       
[  8] 213.01-214.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 214.00-215.00 sec   192 KBytes  1.58 Mbits/sec    0    144 KBytes       
[  8] 215.00-216.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 216.00-217.00 sec   171 KBytes  1.40 Mbits/sec    0    144 KBytes       
[  8] 217.00-218.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 218.00-219.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 219.00-220.01 sec   160 KBytes  1.30 Mbits/sec    0    144 KBytes       
[  8] 220.01-221.00 sec   192 KBytes  1.59 Mbits/sec    0    144 KBytes       
[  8] 221.00-222.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 222.01-223.01 sec   172 KBytes  1.41 Mbits/sec    0    144 KBytes       
[  8] 223.01-224.00 sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 224.00-225.00 sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8] 225.00-226.00 sec   159 KBytes  1.31 Mbits/sec    0    144 KBytes       
[  8] 226.00-227.00 sec   183 KBytes  1.50 Mbits/sec    0    144 KBytes       
[  8] 227.00-228.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 228.00-229.00 sec   174 KBytes  1.43 Mbits/sec    0    144 KBytes       
[  8] 229.00-230.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 230.01-231.01 sec   163 KBytes  1.34 Mbits/sec    0    144 KBytes       
[  8] 231.01-232.00 sec   189 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 232.00-233.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 233.00-234.00 sec   179 KBytes  1.47 Mbits/sec    0    144 KBytes       
[  8] 234.00-235.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 235.00-236.00 sec   178 KBytes  1.46 Mbits/sec    0    144 KBytes       
[  8] 236.00-237.00 sec   164 KBytes  1.35 Mbits/sec    0    144 KBytes       
[  8] 237.00-238.00 sec   188 KBytes  1.54 Mbits/sec    0    144 KBytes       
