Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36278 connected to 10.0.0.3 port 5001
[  8] 115.00-116.01 sec   127 KBytes  1.03 Mbits/sec    0   8.48 KBytes       
[  8] 116.01-117.00 sec   108 KBytes   896 Kbits/sec    0   8.48 KBytes       
[  8] 117.00-118.01 sec  32.0 KBytes   261 Kbits/sec    0   8.48 KBytes       
[  8] 118.01-119.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 119.01-120.02 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 120.02-121.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 121.00-122.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 123.00-124.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 124.01-125.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 125.00-126.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 126.01-127.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 127.00-128.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 128.00-129.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 129.01-130.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 131.00-132.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 132.00-133.00 sec   141 KBytes  1.15 Mbits/sec    0   8.48 KBytes       
[  8] 133.00-134.00 sec   127 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 134.00-135.01 sec   127 KBytes  1.03 Mbits/sec    0   8.48 KBytes       
[  8] 135.01-136.00 sec   130 KBytes  1.08 Mbits/sec    0   8.48 KBytes       
[  8] 136.00-137.01 sec   115 KBytes   932 Kbits/sec    0   8.48 KBytes       
[  8] 137.01-138.00 sec   143 KBytes  1.18 Mbits/sec    0   8.48 KBytes       
[  8] 138.00-139.01 sec   127 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 139.01-140.00 sec   127 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  8] 140.00-141.00 sec   127 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 141.00-142.00 sec   116 KBytes   947 Kbits/sec    0   8.48 KBytes       
[  8] 142.00-143.00 sec   145 KBytes  1.19 Mbits/sec    0   8.48 KBytes       
[  8] 143.00-144.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 144.00-145.00 sec   127 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 145.00-146.00 sec   127 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 146.00-147.01 sec   469 KBytes  3.81 Mbits/sec    0   8.48 KBytes       
[  8] 147.01-148.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 148.00-149.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 149.01-150.00 sec  94.9 KBytes   783 Kbits/sec    0   8.48 KBytes       
[  8] 150.00-151.00 sec   192 KBytes  1.57 Mbits/sec    0   8.48 KBytes       
[  8] 151.00-152.00 sec   242 KBytes  1.99 Mbits/sec    0   8.48 KBytes       
[  8] 152.00-153.00 sec   280 KBytes  2.29 Mbits/sec    0   8.48 KBytes       
[  8] 153.00-154.00 sec   156 KBytes  1.28 Mbits/sec    0   8.48 KBytes       
[  8] 154.00-155.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 155.00-156.01 sec  94.1 KBytes   763 Kbits/sec    0   8.48 KBytes       
[  8] 156.01-157.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 157.01-158.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 158.01-159.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 159.01-160.00 sec   160 KBytes  1.32 Mbits/sec    0   8.48 KBytes       
[  8] 160.00-161.00 sec   268 KBytes  2.18 Mbits/sec    0   8.48 KBytes       
[  8] 161.00-162.00 sec   218 KBytes  1.79 Mbits/sec    0   8.48 KBytes       
[  8] 162.00-163.00 sec   187 KBytes  1.52 Mbits/sec    0   8.48 KBytes       
[  8] 163.00-164.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 164.00-165.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 165.00-166.01 sec  31.6 KBytes   257 Kbits/sec    0   8.48 KBytes       
[  8] 166.01-167.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 167.00-168.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 168.01-169.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 169.00-170.01 sec  90.5 KBytes   737 Kbits/sec    0   8.48 KBytes       
[  8] 170.01-171.00 sec   249 KBytes  2.05 Mbits/sec    0   8.48 KBytes       
[  8] 171.00-172.00 sec   237 KBytes  1.93 Mbits/sec    0   8.48 KBytes       
[  8] 172.00-173.00 sec   261 KBytes  2.14 Mbits/sec    0   8.48 KBytes       
[  8] 173.00-174.00 sec  62.2 KBytes   511 Kbits/sec    0   8.48 KBytes       
[  8] 174.00-175.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 175.00-176.00 sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8] 176.00-177.01 sec   187 KBytes  1.51 Mbits/sec    0   8.48 KBytes       
[  8] 177.01-178.00 sec   227 KBytes  1.88 Mbits/sec    0   8.48 KBytes       
[  8] 178.00-179.01 sec   240 KBytes  1.95 Mbits/sec    0   8.48 KBytes       
[  8] 179.01-180.00 sec   156 KBytes  1.28 Mbits/sec    0   8.48 KBytes       
[  8] 180.00-181.01 sec   124 KBytes  1.01 Mbits/sec    0   8.48 KBytes       
[  8] 181.01-182.00 sec   124 KBytes  1.03 Mbits/sec    0   8.48 KBytes       
[  8] 182.00-183.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 183.00-184.00 sec  95.4 KBytes   782 Kbits/sec    0   8.48 KBytes       
[  8] 184.00-185.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 185.00-186.00 sec  32.0 KBytes   263 Kbits/sec    0   8.48 KBytes       
[  8] 186.00-187.00 sec   160 KBytes  1.31 Mbits/sec    0   8.48 KBytes       
[  8] 187.00-188.01 sec   288 KBytes  2.34 Mbits/sec    0   8.48 KBytes       
[  8] 188.01-189.00 sec   224 KBytes  1.85 Mbits/sec    0   8.48 KBytes       
[  8] 189.00-190.01 sec   134 KBytes  1.09 Mbits/sec    0   8.48 KBytes       
[  8] 190.01-191.00 sec   124 KBytes  1.03 Mbits/sec    0   8.48 KBytes       
[  8] 191.00-192.00 sec   126 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 192.00-193.00 sec  64.0 KBytes   527 Kbits/sec    0   8.48 KBytes       
[  8] 193.00-194.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 194.00-195.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 195.00-196.00 sec  64.0 KBytes   525 Kbits/sec    0   8.48 KBytes       
[  8] 196.00-197.01 sec   192 KBytes  1.56 Mbits/sec    0   8.48 KBytes       
[  8] 197.01-198.00 sec   239 KBytes  1.98 Mbits/sec    0   8.48 KBytes       
[  8] 198.00-199.01 sec   249 KBytes  2.02 Mbits/sec    0   8.48 KBytes       
[  8] 199.01-200.00 sec   124 KBytes  1.03 Mbits/sec    0   8.48 KBytes       
[  8] 200.00-201.01 sec  31.1 KBytes   253 Kbits/sec    0   8.48 KBytes       
[  8] 201.01-202.00 sec  62.2 KBytes   513 Kbits/sec    0   8.48 KBytes       
[  8] 202.00-203.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 203.00-204.00 sec  30.6 KBytes   251 Kbits/sec    0   8.48 KBytes       
[  8] 204.00-205.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 205.00-206.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
