Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52476 connected to 10.0.0.4 port 5001
[  8] 116.01-117.01 sec   333 KBytes  2.73 Mbits/sec    0    136 KBytes       
[  8] 117.01-118.00 sec   320 KBytes  2.65 Mbits/sec    0    136 KBytes       
[  8] 118.00-119.00 sec   320 KBytes  2.62 Mbits/sec    0    136 KBytes       
[  8] 119.00-120.00 sec   334 KBytes  2.72 Mbits/sec    0    136 KBytes       
[  8] 120.00-121.00 sec   342 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8] 121.00-122.00 sec   316 KBytes  2.59 Mbits/sec    0    136 KBytes       
[  8] 122.00-123.00 sec   352 KBytes  2.88 Mbits/sec    0    136 KBytes       
[  8] 123.00-124.00 sec   327 KBytes  2.68 Mbits/sec    0    136 KBytes       
[  8] 124.00-125.00 sec   345 KBytes  2.83 Mbits/sec    0    136 KBytes       
[  8] 125.00-126.01 sec   340 KBytes  2.76 Mbits/sec    0    136 KBytes       
[  8] 126.01-127.00 sec   332 KBytes  2.75 Mbits/sec    0    136 KBytes       
[  8] 127.00-128.00 sec   321 KBytes  2.63 Mbits/sec    0    136 KBytes       
[  8] 128.00-129.01 sec   319 KBytes  2.60 Mbits/sec    0    136 KBytes       
[  8] 129.01-130.01 sec   334 KBytes  2.74 Mbits/sec    0    136 KBytes       
[  8] 130.01-131.00 sec   342 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8] 131.00-132.00 sec   316 KBytes  2.58 Mbits/sec    0    136 KBytes       
[  8] 132.00-133.00 sec   320 KBytes  2.63 Mbits/sec    0    136 KBytes       
[  8] 133.00-134.00 sec   298 KBytes  2.44 Mbits/sec    0    136 KBytes       
[  8] 134.00-135.00 sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8] 135.00-136.01 sec   342 KBytes  2.78 Mbits/sec    0    136 KBytes       
[  8] 136.01-137.01 sec   330 KBytes  2.70 Mbits/sec    0    136 KBytes       
[  8] 137.01-138.00 sec   323 KBytes  2.67 Mbits/sec    0    136 KBytes       
[  8] 138.00-139.01 sec   349 KBytes  2.84 Mbits/sec    0    136 KBytes       
